Date,Region,Produit,Unites,Prix_Unitaire,Revenu,Cout,Profit
2025-02-04,Nord,Casque audio,39,35.04,1366.56,1027.12,339.44
2025-02-05,Nord,Webcam HD,26,81.02,2106.52,1234.35,872.17
2025-02-05,Est,Clavier mecanique,26,84.9,2207.4,1664.06,543.34
2025-02-07,Nord,Souris sans fil,37,33.63,1244.31,1056.21,188.1
2025-02-07,Sud,Casque audio,23,69.78,1604.94,1306.84,298.1
2025-02-07,Nord,Ecran 27 pouces,37,175.36,6488.32,5416.05,1072.27
2025-02-07,Nord,Ecran 27 pouces,31,224.73,6966.63,4802.33,2164.3
2025-02-07,Sud,Casque audio,36,138.65,4991.4,3070.23,1921.17
2025-02-09,Est,Ecran 27 pouces,21,196.19,4119.99,3369.77,750.22
2025-02-09,Nord,Casque audio,25,119.11,2977.75,2051.11,926.64
2025-02-10,Nord,Clavier mecanique,10,55.1,551.0,393.77,157.23
2025-02-10,Est,Souris sans fil,31,34.68,1075.08,660.31,414.77
2025-02-11,Sud,Ecran 27 pouces,10,189.31,1893.1,1442.4,450.7
2025-02-11,Ouest,Casque audio,5,135.56,677.8,559.3,118.5
2025-02-13,Ouest,Ordinateur portable,35,1187.89,41576.15,32419.02,9157.13
2025-02-13,Sud,Ordinateur portable,27,956.94,25837.38,18910.26,6927.12
2025-02-13,Nord,Souris sans fil,24,17.9,429.6,340.9,88.7
2025-02-16,Ouest,Ordinateur portable,7,1068.2,7477.4,5107.84,2369.56
2025-02-17,Sud,Ecran 27 pouces,31,219.09,6791.79,4171.0,2620.79
2025-02-17,Sud,Ordinateur portable,39,797.65,31108.35,22736.37,8371.98
2025-02-18,Sud,Ecran 27 pouces,16,231.17,3698.72,2041.87,1656.85
2025-02-19,Nord,Clavier mecanique,40,106.18,4247.2,2868.73,1378.47
2025-02-20,Sud,Webcam HD,6,38.72,232.32,138.72,93.6
2025-02-22,Nord,Casque audio,2,93.29,186.58,107.86,78.72
2025-02-23,Sud,Clavier mecanique,7,48.08,336.56,260.07,76.49
2025-02-23,Sud,Clavier mecanique,32,68.82,2202.24,1401.65,800.59
2025-02-25,Sud,Ecran 27 pouces,29,182.34,5287.86,3130.7,2157.16
2025-02-26,Ouest,Casque audio,33,110.41,3643.53,2632.5,1011.03
2025-02-26,Ouest,Casque audio,2,76.15,152.3,111.04,41.26
2025-02-27,Nord,Webcam HD,35,83.76,2931.6,1644.07,1287.53
2025-02-27,Est,Ecran 27 pouces,17,274.29,4662.93,3569.84,1093.09
2025-02-27,Nord,Casque audio,13,165.43,2150.59,1552.32,598.27
2025-02-28,Nord,Webcam HD,34,37.09,1261.06,839.99,421.07
2025-03-02,Ouest,Clavier mecanique,33,51.18,1688.94,1396.64,292.3
2025-03-03,Nord,Souris sans fil,12,37.41,448.92,264.3,184.62
2025-03-04,Ouest,Clavier mecanique,28,101.15,2832.2,2295.29,536.91
2025-03-06,Ouest,Casque audio,5,47.05,235.25,163.0,72.25
2025-03-07,Ouest,Casque audio,34,54.77,1862.18,1511.59,350.59
2025-03-11,Nord,Clavier mecanique,27,94.09,2540.43,1656.27,884.16
2025-03-11,Ouest,Souris sans fil,35,26.13,914.55,618.0,296.55
2025-03-11,Nord,Souris sans fil,29,20.18,585.22,496.96,88.26
2025-03-11,Ouest,Clavier mecanique,25,109.5,2737.5,1873.99,863.51
2025-03-12,Nord,Casque audio,11,176.69,1943.59,1306.23,637.36
2025-03-15,Est,Souris sans fil,23,15.05,346.15,215.36,130.79
2025-03-15,Ouest,Ordinateur portable,16,719.43,11510.88,9019.4,2491.48
2025-03-15,Sud,Souris sans fil,4,24.02,96.08,68.89,27.19
2025-03-16,Est,Ecran 27 pouces,10,179.49,1794.9,1396.55,398.35
2025-03-17,Nord,Ordinateur portable,15,1078.13,16171.95,9747.9,6424.05
2025-03-17,Nord,Clavier mecanique,10,100.09,1000.9,847.02,153.88
2025-03-18,Sud,Clavier mecanique,29,99.81,2894.49,1692.91,1201.58
2025-03-20,Sud,Webcam HD,5,52.44,262.2,174.48,87.72
2025-03-21,Est,Clavier mecanique,22,82.34,1811.48,1106.96,704.52
2025-03-21,Ouest,Webcam HD,32,31.44,1006.08,739.16,266.92
2025-03-23,Est,Casque audio,13,138.17,1796.21,1399.13,397.08
2025-03-25,Ouest,Souris sans fil,36,23.1,831.6,512.17,319.43
2025-03-25,Est,Ordinateur portable,20,968.28,19365.6,13996.27,5369.33
2025-03-28,Nord,Clavier mecanique,40,76.08,3043.2,1979.77,1063.43
2025-03-30,Nord,Ecran 27 pouces,29,150.45,4363.05,3302.01,1061.04
2025-04-01,Ouest,Ordinateur portable,22,748.65,16470.3,12924.51,3545.79
2025-04-02,Est,Ordinateur portable,9,1039.41,9354.69,5914.91,3439.78
2025-04-03,Sud,Ecran 27 pouces,25,163.42,4085.5,3006.57,1078.93
2025-04-03,Est,Clavier mecanique,21,47.18,990.78,741.38,249.4
2025-04-04,Est,Souris sans fil,5,22.49,112.45,76.8,35.65
2025-04-07,Est,Casque audio,29,143.47,4160.63,3236.96,923.67
2025-04-08,Est,Clavier mecanique,4,100.35,401.4,325.03,76.37
2025-04-08,Nord,Webcam HD,31,89.97,2789.07,2299.12,489.95
2025-04-09,Sud,Clavier mecanique,15,79.07,1186.05,987.32,198.73
2025-04-10,Est,Clavier mecanique,10,90.92,909.2,564.5,344.7
2025-04-14,Nord,Ecran 27 pouces,21,300.58,6312.18,5239.18,1073.0
2025-04-15,Est,Casque audio,19,49.65,943.35,642.83,300.52
2025-04-15,Est,Ecran 27 pouces,17,280.45,4767.65,3036.2,1731.45
2025-04-16,Ouest,Souris sans fil,38,42.15,1601.7,1335.53,266.17
2025-04-16,Ouest,Ordinateur portable,29,1144.39,33187.31,26304.51,6882.8
2025-04-17,Est,Clavier mecanique,1,106.99,106.99,65.64,41.35
2025-04-19,Ouest,Clavier mecanique,25,63.63,1590.75,1007.7,583.05
2025-04-19,Est,Clavier mecanique,39,63.82,2488.98,1892.51,596.47
2025-04-19,Sud,Webcam HD,7,56.34,394.38,258.33,136.05
2025-04-20,Sud,Webcam HD,37,85.81,3174.97,2295.07,879.9
2025-04-20,Est,Souris sans fil,9,20.76,186.84,111.45,75.39
2025-04-22,Nord,Ordinateur portable,5,883.03,4415.15,3145.13,1270.02
2025-04-22,Nord,Ecran 27 pouces,19,235.66,4477.54,2777.19,1700.35
2025-04-23,Sud,Casque audio,4,104.03,416.12,336.36,79.76
2025-04-23,Nord,Ordinateur portable,4,1039.31,4157.24,2572.01,1585.23
2025-04-23,Ouest,Ecran 27 pouces,32,196.4,6284.8,3511.36,2773.44
2025-04-24,Est,Ecran 27 pouces,8,162.98,1303.84,924.66,379.18
2025-04-24,Sud,Ecran 27 pouces,30,231.29,6938.7,5372.78,1565.92
2025-04-24,Sud,Ordinateur portable,38,793.43,30150.34,21821.09,8329.25
2025-04-25,Nord,Ordinateur portable,30,1188.17,35645.1,26806.9,8838.2
2025-04-26,Nord,Clavier mecanique,36,41.47,1492.92,924.17,568.75
2025-04-26,Nord,Souris sans fil,10,43.41,434.1,303.66,130.44
2025-04-26,Est,Casque audio,6,164.24,985.44,616.08,369.36
2025-04-26,Est,Webcam HD,30,34.38,1031.4,850.31,181.09
2025-04-27,Est,Ordinateur portable,7,1120.42,7842.94,5208.01,2634.93
2025-04-27,Sud,Ordinateur portable,26,1013.02,26338.52,17079.97,9258.55
2025-04-28,Est,Ecran 27 pouces,40,258.23,10329.2,6457.69,3871.51
2025-04-30,Nord,Casque audio,35,59.83,2094.05,1415.28,678.77
2025-04-30,Nord,Ordinateur portable,31,877.32,27196.92,15778.66,11418.26
2025-05-01,Est,Ecran 27 pouces,10,287.12,2871.2,1600.2,1271.0
2025-05-01,Est,Ordinateur portable,24,1189.51,28548.24,20364.59,8183.65
2025-05-02,Ouest,Casque audio,29,72.74,2109.46,1308.29,801.17
2025-05-03,Ouest,Ecran 27 pouces,27,295.52,7979.04,4492.95,3486.09
2025-05-03,Est,Souris sans fil,13,42.12,547.56,361.58,185.98
2025-05-04,Ouest,Casque audio,30,51.47,1544.1,1144.75,399.35
2025-05-05,Ouest,Souris sans fil,7,20.71,144.97,108.39,36.58
2025-05-05,Est,Webcam HD,31,62.8,1946.8,1393.99,552.81
2025-05-06,Est,Clavier mecanique,35,51.04,1786.4,1359.56,426.84
2025-05-06,Ouest,Casque audio,5,157.46,787.3,540.58,246.72
2025-05-06,Nord,Clavier mecanique,16,101.71,1627.36,1261.44,365.92
2025-05-07,Est,Casque audio,16,102.69,1643.04,1039.02,604.02
2025-05-07,Sud,Ordinateur portable,16,991.73,15867.68,9328.07,6539.61
2025-05-11,Sud,Clavier mecanique,29,85.27,2472.83,1988.5,484.33
2025-05-12,Ouest,Clavier mecanique,22,92.26,2029.72,1606.06,423.66
2025-05-15,Sud,Casque audio,20,166.89,3337.8,2678.59,659.21
2025-05-15,Sud,Webcam HD,28,53.72,1504.16,1080.4,423.76
2025-05-16,Nord,Ordinateur portable,23,978.11,22496.53,17290.01,5206.52
2025-05-16,Sud,Webcam HD,31,28.34,878.54,528.14,350.4
2025-05-17,Sud,Ordinateur portable,20,682.8,13656.0,9948.58,3707.42
2025-05-19,Ouest,Souris sans fil,38,28.07,1066.66,672.55,394.11
2025-05-19,Est,Clavier mecanique,13,56.14,729.82,470.49,259.33
2025-05-20,Ouest,Souris sans fil,3,17.41,52.23,42.66,9.57
2025-05-20,Est,Clavier mecanique,12,64.57,774.84,628.36,146.48
2025-05-21,Est,Souris sans fil,34,44.84,1524.56,973.38,551.18
2025-05-22,Nord,Casque audio,6,172.21,1033.26,643.11,390.15
2025-05-24,Nord,Webcam HD,29,49.08,1423.32,972.71,450.61
2025-05-24,Nord,Ecran 27 pouces,26,315.76,8209.76,5434.53,2775.23
2025-05-25,Ouest,Souris sans fil,39,38.23,1490.97,843.46,647.51
2025-05-25,Ouest,Casque audio,31,162.35,5032.85,3199.51,1833.34
2025-05-25,Ouest,Souris sans fil,23,31.01,713.23,458.27,254.96
2025-05-26,Est,Webcam HD,39,80.35,3133.65,2544.47,589.18
2025-05-29,Est,Ecran 27 pouces,12,271.01,3252.12,2563.02,689.1
2025-05-30,Est,Souris sans fil,31,40.04,1241.24,773.44,467.8
2025-05-31,Est,Casque audio,5,58.84,294.2,165.85,128.35
2025-06-01,Est,Ordinateur portable,26,1187.87,30884.62,19529.71,11354.91
2025-06-01,Est,Webcam HD,13,52.01,676.13,398.68,277.45
2025-06-01,Nord,Casque audio,34,145.63,4951.42,2779.35,2172.07
2025-06-02,Est,Webcam HD,32,38.47,1231.04,794.16,436.88
2025-06-03,Ouest,Webcam HD,20,41.26,825.2,503.18,322.02
2025-06-03,Est,Casque audio,35,154.24,5398.4,3762.44,1635.96
2025-06-03,Ouest,Ecran 27 pouces,31,278.25,8625.75,5367.72,3258.03
2025-06-04,Ouest,Casque audio,20,155.06,3101.2,1972.59,1128.61
2025-06-04,Ouest,Ecran 27 pouces,26,286.8,7456.8,4766.61,2690.19
2025-06-06,Ouest,Casque audio,11,137.65,1514.15,1146.1,368.05
2025-06-08,Ouest,Souris sans fil,24,16.13,387.12,309.51,77.61
2025-06-09,Est,Casque audio,4,119.43,477.72,285.04,192.68
2025-06-10,Ouest,Casque audio,8,177.64,1421.12,945.84,475.28
2025-06-12,Nord,Souris sans fil,34,28.97,984.98,643.54,341.44
2025-06-13,Sud,Souris sans fil,29,18.68,541.72,338.24,203.48
2025-06-13,Sud,Clavier mecanique,3,61.9,185.7,133.47,52.23
2025-06-14,Ouest,Casque audio,4,52.63,210.52,144.24,66.28
2025-06-15,Est,Ordinateur portable,37,700.23,25908.51,18813.12,7095.39
2025-06-16,Nord,Ecran 27 pouces,21,289.71,6083.91,4078.35,2005.56
2025-06-19,Est,Ordinateur portable,28,1089.64,30509.92,24921.9,5588.02
2025-06-20,Nord,Casque audio,23,129.54,2979.42,1915.97,1063.45
2025-06-22,Ouest,Webcam HD,30,35.73,1071.9,885.24,186.66
2025-06-22,Sud,Casque audio,11,86.51,951.61,575.01,376.6
2025-06-23,Est,Ecran 27 pouces,33,183.84,6066.72,4067.23,1999.49
2025-06-24,Est,Ecran 27 pouces,22,186.6,4105.2,2383.74,1721.46
2025-06-24,Nord,Clavier mecanique,30,70.43,2112.9,1164.15,948.75
2025-06-24,Sud,Clavier mecanique,21,100.3,2106.3,1622.4,483.9
2025-06-25,Nord,Casque audio,3,126.92,380.76,237.72,143.04
2025-06-25,Est,Webcam HD,17,75.18,1278.06,936.85,341.21
2025-06-26,Ouest,Webcam HD,23,60.78,1397.94,1063.63,334.31
2025-06-26,Ouest,Ecran 27 pouces,33,279.31,9217.23,6622.54,2594.69
2025-06-26,Ouest,Casque audio,27,77.81,2100.87,1412.79,688.08
2025-06-27,Sud,Clavier mecanique,8,53.19,425.52,238.15,187.37
2025-06-28,Nord,Souris sans fil,33,16.6,547.8,362.75,185.05
2025-06-28,Est,Clavier mecanique,35,48.53,1698.55,1127.68,570.87
2025-06-28,Nord,Ecran 27 pouces,26,318.78,8288.28,5873.51,2414.77
2025-06-29,Sud,Webcam HD,3,29.46,88.38,68.61,19.77
2025-06-29,Ouest,Ordinateur portable,23,1049.75,24144.25,17732.88,6411.37
2025-06-30,Est,Webcam HD,30,36.38,1091.4,921.41,169.99
2025-07-01,Ouest,Souris sans fil,4,29.01,116.04,87.26,28.78
2025-07-03,Sud,Casque audio,12,78.57,942.84,593.62,349.22
2025-07-04,Ouest,Souris sans fil,31,17.96,556.76,433.43,123.33
2025-07-05,Est,Ecran 27 pouces,37,159.85,5914.45,4933.15,981.3
2025-07-05,Nord,Souris sans fil,40,30.12,1204.8,678.31,526.49
2025-07-05,Est,Ordinateur portable,29,862.49,25012.21,19492.55,5519.66
2025-07-07,Est,Souris sans fil,3,43.48,130.44,95.42,35.02
2025-07-08,Sud,Casque audio,8,121.09,968.72,758.83,209.89
2025-07-08,Est,Ordinateur portable,6,1049.89,6299.34,4278.4,2020.94
2025-07-09,Sud,Souris sans fil,20,18.82,376.4,248.2,128.2
2025-07-11,Ouest,Ecran 27 pouces,27,191.51,5170.77,3721.81,1448.96
2025-07-11,Est,Webcam HD,5,26.06,130.3,85.14,45.16
2025-07-12,Ouest,Webcam HD,38,37.89,1439.82,1090.21,349.61
2025-07-12,Est,Ecran 27 pouces,34,263.92,8973.28,5186.88,3786.4
2025-07-13,Ouest,Ordinateur portable,35,1025.5,35892.5,21172.88,14719.62
2025-07-14,Nord,Clavier mecanique,39,99.32,3873.48,2437.8,1435.68
2025-07-16,Ouest,Ordinateur portable,37,780.46,28877.02,18992.06,9884.96
2025-07-16,Sud,Souris sans fil,22,37.61,827.42,530.03,297.39
2025-07-17,Nord,Clavier mecanique,21,55.72,1170.12,970.32,199.8
2025-07-19,Ouest,Casque audio,35,142.13,4974.55,3929.7,1044.85
2025-07-21,Ouest,Ecran 27 pouces,23,186.57,4291.11,2422.75,1868.36
2025-07-22,Sud,Webcam HD,30,66.96,2008.8,1295.38,713.42
2025-07-22,Est,Ecran 27 pouces,19,199.38,3788.22,3169.2,619.02
2025-07-24,Est,Souris sans fil,29,41.99,1217.71,713.94,503.77
2025-07-25,Nord,Ecran 27 pouces,25,214.43,5360.75,3374.92,1985.83
2025-07-25,Nord,Souris sans fil,17,17.64,299.88,194.02,105.86
2025-07-26,Nord,Webcam HD,30,81.51,2445.3,1648.07,797.23
2025-07-26,Est,Ordinateur portable,37,870.32,32201.84,23138.47,9063.37
2025-07-27,Nord,Clavier mecanique,40,52.03,2081.2,1431.93,649.27
2025-07-28,Ouest,Casque audio,31,143.72,4455.32,3313.74,1141.58
2025-07-29,Est,Souris sans fil,36,35.92,1293.12,760.6,532.52
2025-07-29,Sud,Ordinateur portable,17,908.22,15439.74,10060.05,5379.69
2025-07-30,Sud,Clavier mecanique,7,51.14,357.98,237.97,120.01
2025-07-31,Sud,Souris sans fil,40,30.05,1202.0,993.04,208.96
2025-08-02,Sud,Webcam HD,34,68.43,2326.62,1959.94,366.68
2025-08-03,Sud,Ecran 27 pouces,9,286.21,2575.89,2091.37,484.52
2025-08-04,Ouest,Webcam HD,12,73.63,883.56,649.11,234.45
2025-08-04,Est,Ordinateur portable,35,908.67,31803.45,17988.85,13814.6
2025-08-04,Ouest,Ordinateur portable,24,888.44,21322.56,15793.1,5529.46
2025-08-05,Sud,Casque audio,13,143.29,1862.77,1422.94,439.83
2025-08-05,Est,Ordinateur portable,9,651.95,5867.55,4348.64,1518.91
2025-08-08,Sud,Souris sans fil,17,20.45,347.65,230.75,116.9
2025-08-08,Nord,Casque audio,18,169.36,3048.48,1703.14,1345.34
2025-08-09,Est,Souris sans fil,14,28.25,395.5,278.18,117.32
2025-08-09,Nord,Clavier mecanique,38,87.48,3324.24,2313.64,1010.6
2025-08-11,Est,Webcam HD,4,88.7,354.8,203.13,151.67
2025-08-13,Ouest,Casque audio,11,108.41,1192.51,786.07,406.44
2025-08-14,Nord,Casque audio,1,166.57,166.57,127.71,38.86
2025-08-14,Nord,Casque audio,9,84.73,762.57,440.03,322.54
2025-08-14,Ouest,Clavier mecanique,32,108.16,3461.12,2622.22,838.9
2025-08-15,Est,Clavier mecanique,23,81.4,1872.2,1314.66,557.54
2025-08-16,Nord,Ordinateur portable,10,827.16,8271.6,4712.37,3559.23
2025-08-18,Est,Ordinateur portable,11,1067.34,11740.74,8916.41,2824.33
2025-08-21,Est,Ecran 27 pouces,14,212.93,2981.02,2238.9,742.12
2025-08-21,Est,Souris sans fil,36,35.9,1292.4,967.44,324.96
2025-08-21,Nord,Webcam HD,17,40.17,682.89,536.99,145.9
2025-08-21,Nord,Webcam HD,39,38.79,1512.81,1272.77,240.04
2025-08-21,Ouest,Souris sans fil,21,36.89,774.69,525.26,249.43
2025-08-21,Sud,Casque audio,37,92.31,3415.47,1937.67,1477.8
2025-08-24,Sud,Souris sans fil,34,20.28,689.52,578.95,110.57
2025-08-24,Est,Webcam HD,30,25.61,768.3,630.28,138.02
2025-08-25,Est,Webcam HD,17,26.42,449.14,357.04,92.1
2025-08-26,Est,Souris sans fil,33,33.38,1101.54,746.87,354.67
2025-08-26,Est,Webcam HD,9,51.54,463.86,261.43,202.43
2025-08-28,Nord,Ecran 27 pouces,15,278.21,4173.15,3372.08,801.07
2025-08-29,Est,Ordinateur portable,19,777.31,14768.89,11237.59,3531.3
2025-08-30,Sud,Webcam HD,40,55.49,2219.6,1224.28,995.32
2025-08-31,Ouest,Souris sans fil,10,44.65,446.5,311.92,134.58
2025-09-01,Ouest,Webcam HD,19,37.96,721.24,466.17,255.07
2025-09-02,Ouest,Clavier mecanique,30,106.97,3209.1,2643.13,565.97
2025-09-03,Ouest,Souris sans fil,32,35.58,1138.56,869.54,269.02
2025-09-03,Sud,Ecran 27 pouces,30,160.73,4821.9,2705.54,2116.36
2025-09-03,Ouest,Souris sans fil,5,39.7,198.5,116.64,81.86
2025-09-06,Ouest,Souris sans fil,33,23.2,765.6,447.22,318.38
2025-09-07,Sud,Ecran 27 pouces,4,200.44,801.76,580.28,221.48
2025-09-09,Ouest,Ordinateur portable,15,701.18,10517.7,7060.75,3456.95
2025-09-09,Nord,Souris sans fil,22,25.44,559.68,361.73,197.95
2025-09-10,Nord,Clavier mecanique,24,78.78,1890.72,1305.02,585.7
2025-09-13,Ouest,Webcam HD,17,54.83,932.11,551.71,380.4
2025-09-13,Ouest,Souris sans fil,32,41.37,1323.84,737.32,586.52
2025-09-15,Sud,Ordinateur portable,6,1178.43,7070.58,5694.66,1375.92
2025-09-15,Sud,Casque audio,10,171.24,1712.4,1029.77,682.63
2025-09-16,Ouest,Ordinateur portable,8,1086.2,8689.6,7002.41,1687.19
2025-09-17,Sud,Ecran 27 pouces,11,213.57,2349.27,1672.24,677.03
2025-09-17,Est,Ordinateur portable,20,805.56,16111.2,12908.98,3202.22
2025-09-18,Sud,Ordinateur portable,9,1191.82,10726.38,6661.31,4065.07
2025-09-20,Sud,Souris sans fil,15,17.75,266.25,211.67,54.58
2025-09-21,Ouest,Casque audio,3,101.01,303.03,235.15,67.88
2025-09-22,Nord,Clavier mecanique,11,45.87,504.57,318.81,185.76
2025-09-23,Sud,Clavier mecanique,21,51.53,1082.13,898.62,183.51
2025-09-23,Ouest,Ecran 27 pouces,33,253.06,8350.98,4943.23,3407.75
2025-09-29,Nord,Casque audio,2,78.62,157.24,91.76,65.48
2025-09-29,Sud,Souris sans fil,22,27.59,606.98,362.5,244.48
2025-09-29,Est,Souris sans fil,18,24.43,439.74,274.79,164.95
2025-09-30,Sud,Casque audio,23,113.81,2617.63,1496.3,1121.33
2025-10-01,Ouest,Clavier mecanique,32,83.88,2684.16,2178.77,505.39
2025-10-02,Est,Ordinateur portable,17,713.44,12128.48,7320.39,4808.09
2025-10-02,Sud,Ecran 27 pouces,31,186.79,5790.49,3665.09,2125.4
2025-10-02,Nord,Souris sans fil,17,26.06,443.02,321.35,121.67
2025-10-03,Sud,Clavier mecanique,22,70.19,1544.18,1137.98,406.2
2025-10-03,Est,Casque audio,9,134.43,1209.87,705.07,504.8
2025-10-04,Est,Casque audio,18,105.27,1894.86,1514.26,380.6
2025-10-04,Est,Ecran 27 pouces,2,168.69,337.38,198.9,138.48
2025-10-05,Nord,Webcam HD,4,45.38,181.52,131.65,49.87
2025-10-06,Ouest,Casque audio,15,86.89,1303.35,813.62,489.73
2025-10-08,Ouest,Ecran 27 pouces,31,276.42,8569.02,5869.96,2699.06
2025-10-09,Nord,Ordinateur portable,35,1008.68,35303.8,28271.58,7032.22
2025-10-10,Sud,Souris sans fil,39,20.72,808.08,567.65,240.43
2025-10-10,Ouest,Souris sans fil,13,42.99,558.87,471.82,87.05
2025-10-10,Sud,Casque audio,5,162.64,813.2,522.71,290.49
2025-10-10,Sud,Ecran 27 pouces,4,223.55,894.2,714.84,179.36
2025-10-11,Sud,Casque audio,15,62.39,935.85,606.96,328.89
2025-10-11,Nord,Souris sans fil,37,42.27,1563.99,1166.03,397.96
2025-10-12,Nord,Casque audio,36,173.49,6245.64,4052.76,2192.88
2025-10-12,Est,Ordinateur portable,37,1069.43,39568.91,24447.56,15121.35
2025-10-14,Ouest,Casque audio,16,142.42,2278.72,1844.35,434.37
2025-10-15,Est,Webcam HD,38,63.0,2394.0,1603.55,790.45
2025-10-15,Est,Casque audio,5,63.21,316.05,234.07,81.98
2025-10-15,Nord,Clavier mecanique,29,94.25,2733.25,1679.23,1054.02
2025-10-15,Ouest,Souris sans fil,9,31.72,285.48,190.28,95.2
2025-10-16,Ouest,Webcam HD,37,85.07,3147.59,2338.34,809.25
2025-10-16,Est,Souris sans fil,24,39.47,947.28,615.14,332.14
2025-10-17,Nord,Casque audio,19,141.78,2693.82,2108.51,585.31
2025-10-17,Ouest,Ordinateur portable,2,728.03,1456.06,840.91,615.15
2025-10-19,Sud,Casque audio,40,119.18,4767.2,2739.21,2027.99
2025-10-19,Ouest,Clavier mecanique,21,42.01,882.21,533.34,348.87
2025-10-19,Est,Souris sans fil,20,18.73,374.6,284.67,89.93
2025-10-20,Ouest,Souris sans fil,25,38.08,952.0,667.23,284.77
2025-10-21,Nord,Clavier mecanique,16,85.76,1372.16,780.26,591.9
2025-10-22,Ouest,Casque audio,27,90.66,2447.82,1558.91,888.91
2025-10-22,Est,Casque audio,21,119.69,2513.49,1561.06,952.43
2025-10-23,Sud,Clavier mecanique,28,43.11,1207.08,664.51,542.57
2025-10-24,Ouest,Ecran 27 pouces,31,225.91,7003.21,4576.86,2426.35
2025-10-28,Sud,Ecran 27 pouces,34,158.63,5393.42,3331.52,2061.9
2025-10-29,Est,Ordinateur portable,19,1107.95,21051.05,13014.71,8036.34
2025-10-29,Ouest,Clavier mecanique,4,79.8,319.2,233.94,85.26
2025-10-29,Ouest,Casque audio,20,41.8,836.0,646.85,189.15
2025-10-30,Sud,Webcam HD,36,69.12,2488.32,1738.55,749.77
2025-11-02,Ouest,Casque audio,36,67.71,2437.56,1970.12,467.44
2025-11-04,Nord,Casque audio,23,147.4,3390.2,2406.44,983.76
2025-11-07,Est,Souris sans fil,31,36.06,1117.86,868.81,249.05
2025-11-08,Ouest,Ordinateur portable,16,1076.89,17230.24,11033.3,6196.94
2025-11-10,Nord,Webcam HD,20,78.11,1562.2,1295.89,266.31
2025-11-10,Est,Webcam HD,32,84.57,2706.24,1650.95,1055.29
2025-11-10,Est,Ecran 27 pouces,40,216.8,8672.0,6693.01,1978.99
2025-11-13,Sud,Casque audio,29,87.06,2524.74,1613.83,910.91
2025-11-13,Nord,Webcam HD,29,30.3,878.7,657.78,220.92
2025-11-15,Nord,Souris sans fil,2,32.76,65.52,37.69,27.83
2025-11-16,Est,Webcam HD,29,45.55,1320.95,753.58,567.37
2025-11-16,Est,Casque audio,2,36.18,72.36,41.56,30.8
2025-11-17,Sud,Souris sans fil,15,18.44,276.6,205.87,70.73
2025-11-18,Sud,Ordinateur portable,20,1033.46,20669.2,16640.52,4028.68
2025-11-19,Sud,Webcam HD,32,70.26,2248.32,1506.14,742.18
2025-11-19,Ouest,Ecran 27 pouces,16,289.68,4634.88,2593.08,2041.8
2025-11-20,Est,Ordinateur portable,36,831.33,29927.88,22551.07,7376.81
2025-11-21,Est,Casque audio,4,103.28,413.12,238.66,174.46
2025-11-22,Est,Ecran 27 pouces,40,256.25,10250.0,7277.94,2972.06
2025-11-23,Est,Ordinateur portable,31,1021.16,31655.96,17648.43,14007.53
